Date,Temperature Today in Degrees Fahrenheit,Temperature Yesterday,Temperature Tomorrow,Wind Speed in MPH,Humidity Percentage,Dew Pt in Degress Fahrenheit,UV Index,Visibility by Miles,Pressure in mb,Precipitation in Percentage
11/6/17,65,56,47,4,86,61,1,8,1010,23
11/5/17,56,51,65,3,77,49,2,10,1026,0
11/4/17,51,70,56,1,52,34,2,10,1028,0
11/3/17,70,65,51,3,72,60,2,10,1015,2
11/2/17,65,49,70,2,82,59,2,10,1026,1
11/1/17,49,55,65,0,62,37,2,10,1029,1
10/31/17,55,54,49,3,46,35,3,10,1014,3
10/30/17,54,60,55,6,82,49,2,9,989,19
10/29/17,60,64,54,2,88,57,2,10,1012,14
10/28/17,64,56,60,3,68,53,3,10,1018,3
10/27/17,56,59,64,3,55,40,3,10,1017,4
10/26/17,59,68,56,2,95,58,2,4,1001,73
10/25/17,68,72,59,8,94,66,2,7,1006,84
10/24/17,72,58,68,11,79,66,2,10,1014,3
10/23/17,58,66,72,4,90,55,NA,4,1027,0
10/22/17,66,71,58,6,53,49,3,NA,1029,0
10/21/17,71,66,66,6,32,40,3,NA,1025,0
10/20/17,66,68,71,12,35,38,3,NA,1017,0
10/19/17,68,65,66,15,49,48,3,NA,1021,0
10/18/17,65,51,68,8,43,42,3,NA,1024,0
10/17/17,51,58,65,6,43,29,3,NA,1025,0
10/16/17,58,69,51,13,58,43,3,NA,1013,0
10/15/17,69,62,58,13,81,63,NA,NA,1014,0
10/14/17,62,61,69,3,89,58,3,6,1024,9
10/13/17,61,56,62,10,56,45,3,10,1032,0
10/12/17,56,66,61,15,53,39,3,NA,1031,0
10/11/17,66,75,56,9,57,50,3,NA,1022,0
10/10/17,75,73,66,10,60,61,3,NA,1015,0
10/9/17,73,71,75,9,91,71,NA,9,1015,14
10/8/17,71,70,73,16,91,68,3,8,1012,83
10/7/17,70,73,71,6,75,62,3,10,1020,0
10/6/17,73,74,70,6,43,49,3,NA,1018,0
10/5/17,74,68,73,10,46,52,3,NA,1017,0
10/4/17,68,62,74,12,53,51,3,9,1025,0
10/3/17,62,65,68,8,54,46,3,NA,1038,0
10/2/17,65,59,62,9,48,45,4,NA,1029,0
10/1/17,59,56,65,7,46,38,4,NA,1027,0
9/30/17,56,61,59,11,79,49,NA,9,1022,64
9/29/17,61,74,56,6,44,39,4,NA,1015,0
9/28/17,74,81,61,16,47,52,4,NA,1005,0
9/27/27,81,76,74,5,68,70,4,10,1012,0
9/26/17,76,79,81,5,75,67,4,10,1016,0
9/25/17,79,78,76,6,63,65,4,10,1018,0
9/24/17,78,71,79,4,58,63,5,NA,1017,0
9/23/17,71,60,78,8,67,59,4,10,1016,0
9/22/17,60,68,71,20,85,55,NA,6,1016,24
9/21/17,68,67,60,23,59,53,5,NA,1016,0
9/20/17,67,65,68,20,95,65,NA,3,1011,81
9/19/17,65,67,67,13,95,63,NA,4,1019,70
9/18/17,67,70,65,7,90,64,NA,4,1022,0
9/17/17,70,70,67,4,83,65,4,6,1021,0
9/16/17,70,76,70,2,86,65,5,6,1021,0
9/15/17,76,77,70,4,73,67,4,10,1017,0
9/14/17,77,75,76,12,63,63,4,10,1011,0
9/13/17,75,77,77,5,48,54,5,NA,1011,0
9/12/17,77,72,75,6,42,52,5,NA,1014,0
9/11/17,72,67,77,8,45,50,5,NA,1023,0
9/10/17,67,66,72,9,58,51,5,10,1026,0
9/9/17,66,69,67,10,59,51,5,NA,1023,0
9/8/17,69,68,66,8,46,48,5,NA,1017,0
9/7/17,68,73,69,11,69,58,5,NA,1009,0
9/6/17,73,80,68,7,89,70,5,9,1011,45
9/5/17,80,72,73,14,62,66,5,NA,1008,0
9/4/17,72,59,80,10,54,55,5,NA,1011,0
9/3/17,59,66,72,16,95,57,NA,4,1015,71
9/2/17,66,63,59,5,34,37,6,NA,1023,0
9/1/17,63,77,66,15,38,37,6,NA,1016,0
8/31/17,77,66,63,12,46,54,6,NA,1009,0
8/30/17,66,66,77,14,65,54,5,NA,1013,0
8/29/17,66,71,66,11,66,54,6,NA,1024,0
8/28/17,71,69,66,9,48,50,6,NA,1027,0
8/27/17,69,71,71,4,53,52,6,NA,1025,0
8/26/17,71,72,69,8,40,45,6,NA,1023,0
8/25/17,72,76,71,8,45,50,6,NA,1018,0
8/24/17,76,79,72,9,39,49,6,NA,1012,0
8/23/17,79,82,76,12,41,53,6,10,1008,0
8/22/17,82,80,79,11,68,70,6,10,1013,0
8/21/17,80,81,82,5,52,61,7,NA,1020,0
8/20/17,81,73,80,10,49,60,6,NA,1014,0
8/19/17,73,76,81,3,81,67,6,9,1009,0
8/18/17,76,75,73,13,79,69,NA,9,1012,10
8/17/17,75,80,76,6,40,49,7,NA,1017,0
8/16/17,80,77,75,12,47,58,6,NA,1013,0
8/15/17,77,76,80,9,64,63,7,NA,1012,0
8/14/17,76,80,77,5,49,55,7,NA,1017,0
8/13/17,80,70,76,9,52,61,6,NA,1011,0
8/12/17,70,77,80,5,73,61,6,NA,1014,0
8/11/17,77,80,70,10,46,55,7,NA,1021,0
8/10/17,80,79,77,6,50,59,7,10,1023,0
8/9/17,79,68,80,7,40,52,7,NA,1021,0
8/8/17,68,75,79,9,77,61,NA,NA,1012,0
8/7/17,75,72,68,10,50,55,8,NA,1018,0
8/6/17,72,72,75,17,44,49,7,NA,1015,0
8/5/17,72,80,72,7,93,70,7,7,1012,83
8/4/17,80,78,72,9,60,65,7,NA,1018,0
8/3/17,78,81,80,10,69,67,7,NA,1020,0
8/2/17,81,79,78,6,71,71,8,10,1018,0
8/1/17,79,78,81,6,58,63,8,10,1017,0
7/31/17,78,73,79,5,48,56,7,NA,1017,0
7/30/17,73,67,78,10,50,53,7,NA,1015,0
7/29/17,67,79,73,14,62,54,8,10,1011,3
7/28/17,79,73,67,7,56,62,7,NA,1010,0
7/27/17,73,74,79,13,62,59,8,NA,1014,0
7/26/17,74,61,73,6,54,57,7,NA,1023,0
7/25/17,61,59,74,9,85,56,NA,9,1019,1
7/24/17,59,69,61,15,92,57,NA,4,1013,96
7/23/17,69,80,59,12,57,53,8,NA,1012,0
7/22/17,80,84,69,4,55,63,9,NA,1010,0
7/21/17,84,86,80,8,39,57,8,NA,1010,0
7/20/17,86,82,84,7,48,64,9,NA,1013,0
7/19/17,82,80,86,7,73,72,7,NA,1015,0
7/18/17,80,82,82,6,73,70,7,NA,1019,3
7/17/17,82,79,80,9,58,65,8,NA,1018,0
7/16/17,79,68,82,4,55,62,8,NA,1013,0
7/15/17,68,63,79,3,80,61,NA,NA,1013,0
7/14/17,63,63,68,7,83,58,NA,NA,1020,0
7/13/17,63,80,63,13,88,59,NA,9,1016,0
7/12/17,80,72,63,5,67,69,8,10,1015,0
7/11/17,72,82,80,4,87,69,8,9,1014,1
7/10/17,82,77,72,8,38,54,8,NA,1017,0
7/9/17,77,79,82,11,40,51,8,NA,1014,0
7/8/17,79,67,77,10,66,67,8,NA,1006,0
7/7/17,67,76,79,7,93,65,NA,4,1011,85
7/6/17,76,76,67,8,52,57,9,NA,1021,0
7/5/17,76,79,76,6,43,52,8,NA,1024,0
7/4/17,79,81,76,3,43,55,9,NA,1017,0
7/3/17,81,83,79,14,46,58,8,NA,1012,0
7/2/17,83,83,81,13,46,60,9,NA,1012,0
7/1/17,83,76,83,12,63,69,8,NA,1014,0
6/30/17,76,75,83,12,69,65,9,10,1014,0
6/29/17,75,71,76,11,49,55,10,NA,1019,0
6/28/17,71,68,75,12,45,49,8,NA,1016,0
6/27/17,68,74,71,5,68,57,8,10,1015,0
6/26/17,74,79,68,11,41,49,8,NA,1015,0
6/25/17,79,75,74,8,38,51,9,NA,1013,0
6/24/17,75,82,79,7,88,71,8,10,1001,13
6/23/17,82,78,75,10,66,70,9,NA,1007,0
6/22/17,78,80,82,3,44,54,9,NA,1014,0
6/21/17,80,79,78,15,39,53,8,NA,1010,0
6/20/17,79,79,80,14,60,64,8,NA,1009,0
6/19/17,79,77,79,14,76,71,8,10,1010,0
6/18/17,77,65,79,11,78,70,8,10,1012,0
6/17/17,65,69,77,4,87,62,NA,9,1014,0
6/16/17,69,66,65,13,60,55,8,NA,1018,0
6/15,66,68,69,10,50,46,9,NA,1019,0
6/14/17,68,90,66,5,41,44,10,NA,1016,0
6/13/17,90,89,68,12,44,65,9,NA,1010,0
6/12,89,85,90,6,41,62,9,NA,1014,0
6/11/17,85,80,89,11,43,60,10,NA,1015,0
6/10/17,80,72,85,6,42,54,9,10,1014,0
6/9/17,72,68,80,1,43,48,9,NA,1004,0
6/8/17,68,60,72,7,52,50,10,NA,1017,0
6/7/17,60,48,68,7,67,49,9,10,1015,0
6/6/17,48,55,60,17,94,47,NA,2,1011,93
6/5/17,55,67,48,14,94,53,NA,3,1011,0
6/4/17,67,64,55,4,51,48,8,NA,1014,0
6/3/17,64,68,67,12,48,43,8,NA,1011,0
6/2/17,68,75,64,16,36,40,8,NA,1012,0
6/1/17,75,61,68,10,40,49,8,NA,1011,0
5/31/17,61,55,75,5,86,57,NA,9,1018,16
5/30/17,55,50,61,6,80,49,NA,10,1023,0
5/29/17,50,64,55,13,90,47,NA,5,1017,6
5/28/17,64,59,50,7,71,54,9,NA,1015,0
5/2017,59,54,64,11,67,49,8,NA,1011,0
5/26/17,54,53,59,14,88,51,NA,9,999,5
5/25/17,53,62,54,16,91,51,NA,3,1010,77
5/24/17,62,65,53,6,69,52,8,NA,1009,0
5/23/17,65,51,62,8,51,47,9,NA,1013,0
5/22/17,51,58,65,5,77,44,NA,7,1022,65
5/21/17,58,57,51,8,44,37,9,NA,1029,0
5/20/17,57,86,58,12,42,34,9,NA,1026,0
5/19/17,86,90,57,16,43,61,9,10,1009,0
5/18/17,90,82,86,13,30,55,9,NA,1010,0
5/17/17,82,71,90,10,35,52,8,NA,1012,0
5/16/17,71,53,82,11,37,44,8,NA,1012,0
5/15/17,53,47,71,13,81,47,NA,10,1000,13
5/14/17,47,50,53,17,93,45,NA,3,1000,39
5/13/17,50,51,47,12,74,42,8,NA,1017,0
5/12/17,51,52,50,9,76,43,NA,10,1019,0
5/11/17,52,52,51,12,66,41,7,10,1017,0
5/10/17,52,48,52,6,49,33,9,NA,1016,0
5/9/17,48,52,52,12,55,32,NA,NA,1016,0
5/8/17,52,62,48,13,47,33,NA,NA,1008,0
5/7/17,62,63,52,18,49,43,7,NA,1003,0
5/6/17,63,49,62,12,94,61,7,8,1000,92
5/5/17,49,53,63,13,84,45,9,10,1016,12
5/4/17,53,61,49,9,40,29,8,10,1026,0
5/3/17,61,54,53,15,39,36,7,NA,1009,0
5/2/17,54,47,61,1,94,53,NA,4,1000,0
5/1/17,47,48,54,8,90,44,NA,7,1017,0
4/30/17,48,79,47,11,52,31,7,NA,1026,0
4/29/17,79,68,48,13,42,54,8,NA,1012,0
4/28/17,68,57,79,6,75,60,7,NA,1015,0
4/27/17,57,53,68,4,87,53,NA,10,1014,3
4/26/17,53,48,57,7,98,52,NA,1,1011,79
4/25/17,48,63,53,17,79,42,NA,NA,1025,0
4/24/17,63,52,48,5,36,35,8,NA,1022,0
4/23/17,52,44,63,6,57,38,7,NA,1019,0
4/22/17,44,45,52,9,92,42,NA,9,1014,66
4/21/17,45,53,44,14,94,43,NA,2,1018,40
4/20/17,53,50,45,6,72,44,6,10,1020,0
4/19/17,50,47,53,14,50,32,7,NA,1032,0
4/18/17,47,73,50,14,55,32,7,NA,1030,0
4/17/17,73,81,47,19,26,36,7,NA,1010,0
4/16/17,81,65,73,17,33,50,6,NA,1009,0
4/15/17,65,57,81,12,24,27,7,NA,1026,0
4/14/17,57,51,65,8,26,23,7,NA,1029,0
4/13/17,51,55,57,13,43,30,7,NA,1025,0
4/12/17,55,75,51,6,62,42,7,NA,1020,0
4/11/17,75,72,55,8,37,47,7,NA,1018,0
4/10/17,72,57,75,15,25,34,7,NA,1020,0
4/9/17,57,46,72,10,22,19,7,NA,1019,0
4/8/17,46,53,57,20,43,24,5,NA,1004,0
4/7/17,53,39,46,23,48,34,6,NA,991,0
4/6/17,39,40,53,13,96,38,NA,2,1010,50
4/5/17,40,39,39,7,84,36,NA,NA,1014,0
4/4/17,39,54,40,18,94,37,NA,2,1010,89
4/3/17,54,45,39,5,33,25,6,NA,1019,0
4/2/17,45,33,54,11,59,32,5,NA,1017,0
4/1/17,33,36,45,20,96,33,NA,1,1010,96
3/31/17,36,44,33,10,91,33,NA,3,1022,38
3/30/17,44,42,36,8,38,20,5,NA,1022,0
3/29/17,42,39,44,10,78,36,NA,NA,1017,0
3/28/17,39,40,42,6,90,36,NA,9,1017,0
3/27/17,40,39,39,3,98,40,NA,2,1019,82
3/26/17,39,39,40,14,55,24,5,NA,1034,0
3/25/17,39,40,39,7,83,35,NA,10,1024,10
3/24/17,40,29,39,13,57,26,4,9,1029,0
3/23/17,29,33,40,15,25,-3,5,NA,1032,0
3/22/17,33,49,29,23,38,10,4,NA,1013,0
3/21/17,49,45,33,3,34,22,5,NA,1011,0
3/20/17,45,35,49,15,29,15,4,NA,1017,0
3/19/17,35,34,45,20,71,26,NA,NA,1023,0
3/18/17,34,34,35,13,56,20,4,NA,1027,0
3/17/17,34,29,34,13,32,7,4,10,1020,0
3/16/17,29,25,34,16,42,9,4,NA,1009,0
3/15/17,25,32,29,16,55,11,4,10,995,0
3/14/17,32,24,25,28,97,31,NA,0,1008,76
3/13/17,24,21,32,7,31,-2,4,NA,1031,0
3/12/17,21,16,24,16,33,-4,4,NA,1021,0
3/11/17,16,29,21,22,34,-7,4,9,1016,0
3/10/17,29,48,16,3,87,26,NA,1,1010,24
3/9/17,48,52,29,24,27,16,4,NA,1010,0
3/8/17,52,41,48,14,61,39,4,NA,1010,0
3/7/17,41,31,52,12,77,35,NA,NA,1027,4
3/6/17,31,26,41,4,19,-7,4,NA,1032,0
3/5/17,26,19,31,17,17,-12,4,NA,1032,0
3/4/17,19,33,26,22,31,-6,3,NA,1028,0
3/3/17,33,40,19,14,25,1,4,NA,1020,0
3/2/17,40,59,33,30,33,13,3,NA,999,0
3/1/17,59,48,40,14,86,55,NA,10,1002,3
2/28/17,48,50,59,5,55,33,3,NA,1028,0
2/27/17,50,42,48,14,29,19,4,NA,1026,0
2/26/17,42,65,50,21,40,19,3,NA,1010,0
2/25/17,65,67,42,10,70,55,3,NA,1007,0
2/24/17,67,63,65,13,61,52,3,10,1013,0
2/23/17,63,52,67,11,51,44,3,NA,1009,0
2/22/17,52,39,63,4,53,35,3,NA,1014,0
2/21/17,39,42,52,4,52,23,3,NA,1027,0
2/20/17,42,55,39,9,43,21,3,10,1021,0
2/19/17,55,46,42,12,47,35,3,10,1005,0
2/18/17,46,35,55,14,39,22,3,10,1005,0
2/17/17,35,34,46,17,41,14,3,10,1005,0
2/16/17,34,39,35,16,65,24,NA,9,996,4
2/15/17,39,33,34,8,87,36,NA,9,998,7
2/14/17,33,32,39,5,50,16,3,10,1010,6
2/13/17,32,33,33,25,67,23,NA,8,998,13
2/12/17,33,21,32,14,88,30,NA,3,1018,66
2/11/17,21,23,33,4,87,18,NA,5,1015,4
2/10/17,23,27,21,18,37,1,2,9,1018,0
2/9/17,27,41,23,22,90,24,NA,0,1000,66
2/8/17,41,34,27,10,92,39,2,6,1002,3
2/7/17,34,36,41,16,97,33,NA,3,1017,77
2/6/17,36,38,34,16,28,6,2,10,1017,0
2/5/17,38,30,36,18,46,19,2,10,1012,0
2/4/17,30,30,38,14,35,6,2,10,1023,0
2/3/17,30,38,30,8,41,9,2,10,1020,0
2/2/17,38,38,30,13,46,19,2,10,1014,0
2/1/17,38,26,38,13,72,30,2,10,1010,3
1/31/17,26,33,38,3,47,9,2,10,1014,0
1/30/17,33,41,26,6,42,13,2,10,1007,0
1/29/17,41,39,33,13,42,20,2,10,1004,0
1/28/17,39,43,41,16,47,21,NA,10,1000,0
1/27/17,43,50,39,24,44,23,NA,10,997,0
1/26/17,50,40,43,12,65,39,2,10,992,3
1/25/17,40,41,50,21,61,28,2,10,998,0
1/24/17,41,36,40,25,97,41,NA,3,994,37
1/23/17,36,46,41,20,86,32,NA,7,1016,13
1/22/17,46,47,36,12,83,41,NA,10,1009,3
1/21/17,47,39,46,7,76,39,NA,10,1008,0
1/20/17,39,42,47,3,74,32,NA,10,1016,0
1/19/17,42,39,39,8,76,35,2,10,1015,3
1/18/17,39,41,42,13,97,38,NA,2,1014,65
1/17/17,41,37,39,8,54,25,2,10,1023,0
1/16/17,37,34,41,16,41,15,2,10,1028,0
1/15/17,34,27,37,11,45,15,2,10,1025,0
1/14/17,27,45,34,5,33,2,2,10,1036,0
1/13/17,45,58,27,20,42,24,2,10,1025,0
1/12/17,58,53,45,17,76,51,2,10,1015,0
1/11/17,53,29,58,15,54,37,2,10,1024,4
1/10/17,29,17,53,7,62,17,2,10,1037,0
1/9/17,17,20,29,6,44,-1,1,10,1038,0
1/8/17,20,22,17,13,43,2,1,10,1021,3
1/7/17,22,29,20,10,84,18,NA,1,1024,70
1/6/17,29,32,22,8,71,21,1,10,1016,3
1/5/17,32,44,29,18,39,10,1,10,1011,0
1/4/17,44,41,32,13,82,39,NA,10,995,0
1/3/17,41,38,44,17,97,40,NA,2,1018,96
1/2/17,38,37,41,5,63,27,2,10,1034,0
1/1/17,37,42,38,9,57,23,2,10,1028,0
12/31,42,40,37,19,49,25,1,NA,1019,3
12/30,40,38,42,20,58,27,NA,10,998,0
12/29/16,38,40,40,12,74,31,NA,8,1011,5
12/28/16,40,56,38,14,42,18,NA,10,1016,0
12/27/16,56,34,40,15,73,48,1,10,1004,0
12/26/17,34,43,56,7,61,23,1,10,1039,0
12/25/16,43,42,34,16,45,23,1,10,1030,0
12/24/16,42,43,43,13,93,40,NA,3,1017,100
12/23/16,43,36,42,13,48,25,1,10,1026,0
12/22/16,36,40,43,4,87,33,1,8,1014,66
12/21/16,40,28,36,12,44,20,1,10,1018,0
12/20/16,28,22,40,2,47,11,1,10,1032,0
12/19/16,22,56,28,9,32,-3,1,10,1040,0
12/18/16,56,33,22,20,90,53,NA,9,1005,18
12/17/16,33,12,56,3,96,32,NA,3,1013,83
12/16/16,12,26,33,10,28,-15,1,10,1029,0
12/15/16,26,41,12,27,27,-3,1,10,1005,0
12/14/16,41,40,26,15,46,22,1,10,1012,0
12/13/16,40,42,41,8,42,19,1,NA,1019,3
12/12/16,42,32,40,13,92,40,1,9,1006,4
12/11/16,32,28,42,7,45,14,1,10,1033,0
12/10/16,28,36,32,13,40,7,1,10,1025,0
12/9/16,36,41,28,17,41,15,1,10,1014,0
12/8/16,41,39,36,8,75,34,1,10,1010,0
12/7/16,39,42,41,5,93,37,NA,6,1015,3
12/6/16,42,36,39,10,55,27,1,10,1019,3
12/5/16,36,39,42,8,94,35,NA,4,1014,83
12/4/16,39,44,36,10,47,20,1,10,1021,0
12/3/16,44,50,39,19,50,27,1,10,1011,0
12/2/16,50,56,44,17,51,33,1,10,1007,0
12/1/16,56,47,50,18,57,41,1,10,999,0
11/30/16,47,44,56,8,93,45,NA,8,1015,16
11/29/16,44,43,47,9,92,42,NA,4,1020,92
11/28/16,43,44,44,9,49,25,1,10,1020,0
11/27/16,44,42,43,15,53,28,1,10,1015,0
11/26/16,42,45,44,5,85,38,NA,8,1018,0
11/25/16,45,40,42,4,93,43,NA,6,1023,21
11/24/16,40,42,45,4,69,30,1,10,1026,0
11/23/16,42,41,40,13,44,22,2,10,1021,0
11/22/16,41,39,42,19,44,21,2,10,1011,0
11/21/16,39,43,41,20,46,20,2,10,997,0
11/20/16,43,50,39,18,65,33,2,10,991,3
11/19/16,50,57,43,6,78,44,2,10,1012,0
11/18/16,57,54,50,10,50,39,2,10,1017,0
11/17/16,54,53,57,9,60,41,NA,10,1013,0
11/16/16,53,52,54,11,90,50,NA,10,1004,0
11/15/16,52,61,53,11,83,47,NA,9,1014,30
11/14/16,61,56,52,9,19,19,2,10,1014,0
11/13/16,56,45,61,10,39,31,2,10,1015,0
11/12/16,45,58,56,9,38,20,2,10,1023,0
11/11/16,58,49,45,19,40,34,2,10,1001,0
11/10/16,49,60,58,6,37,24,2,10,1012,0
11/9/16,60,56,49,6,49,41,2,10,1008,0
11/8/16,56,46,60,5,49,37,2,10,1018,0
11/7/16,46,48,56,12,59,32,2,10,1031,0
,,,,,,37,2,9,1022,24